SIM_COMPANY,OFFER_PRICE,VALIDITY,DATA_PER_DAY,ADDITIONAL DATA,SMS_PER_DAY,ADDITIONAL_SMS,DISNEY+HOTSTAR,COST_PER_DAY
Airtel,455,84,0.0,6.0,0,900,0,5.42
Airtel,299,28,2.0,0.0,100,0,0,10.68
Airtel,479,56,1.5,0.0,100,0,0,8.55
Airtel,155,24,0.0,1.0,0,300,0,6.46
Airtel,179,28,0.0,2.0,0,300,0,6.39
Airtel,719,84,1.5,0.0,100,0,0,8.56
Airtel,265,28,1.0,0.0,100,0,0,9.46
Airtel,209,21,1.0,0.0,100,0,0,9.95
Airtel,666,77,1.5,0.0,100,0,0,8.65
Airtel,549,56,2.0,0.0,100,0,0,9.8
Airtel,699,56,3.0,0.0,100,0,0,12.48
Airtel,239,24,1.0,0.0,100,0,0,9.96
Airtel,296,30,0.0,25.0,100,0,0,9.87
Airtel,319,30,2.0,0.0,100,0,0,10.63
Airtel,359,28,2.0,0.0,100,0,0,12.82
Airtel,999,84,2.5,0.0,100,0,0,11.89
Airtel,299,28,1.5,0.0,100,0,0,10.68
Airtel,359,28,3.0,0.0,100,0,0,12.82
Airtel,479,56,1.5,0.0,100,0,0,8.55
Airtel,719,84,1.5,0.0,100,0,0,8.56
Airtel,399,28,2.5,0.0,100,0,3,14.25
Airtel,179,28,0.0,2.0,0,300,0,6.39
Airtel,195,31,0.0,2.0,0,300,0,6.29
Airtel,499,28,2.0,0.0,100,0,12,17.82
Airtel,901,70,3.0,0.0,100,0,12,12.87
Airtel,459,84,0.0,6.0,0,1000,0,5.46
Airtel,269,28,1.0,0.0,100,0,0,9.61
Airtel,337,31,0.0,28.0,100,0,0,10.87
Airtel,601,28,3.0,0.0,100,0,12,21.46
Airtel,475,28,4.0,0.0,100,0,0,16.96
Airtel,319,31,2.0,0.0,100,0,0,10.29
Airtel,666,77,1.5,0.0,100,0,0,8.65
Airtel,239,24,1.0,0.0,100,0,0,9.96
Airtel,699,56,3.0,0.0,100,0,0,12.48
Airtel,539,56,2.0,0.0,100,0,0,9.62
Airtel,839,84,2.0,0.0,100,0,0,9.99
Airtel,2899,365,1.5,0.0,100,0,0,7.94
Airtel,1799,365,0.0,24.0,0,3600,0,4.93
Airtel,409,28,3.5,0.0,100,0,0,14.61
Airtel,1449,180,1.5,0.0,100,0,0,8.05
Airtel,327,30,0.0,25.0,100,0,0,10.9
Airtel,537,60,0.0,50.0,100,0,0,8.95
Airtel,98,15,0.0,0.2,0,0,0,6.53
Airtel,329,56,0.0,4.0,0,600,0,5.88
Airtel,109,15,0.0,0.2,0,0,0,7.27
Airtel,1066,84,2.0,0.0,100,0,12,12.69
Airtel,599,70,1.5,0.0,100,0,0,8.56
Airtel,199,18,1.0,0.0,100,0,0,11.06
Airtel,249,21,1.5,0.0,100,0,0,11.86
Airtel,129,18,0.0,0.2,0,0,0,7.17
Airtel,219,21,1.0,0.0,100,0,0,10.43
Airtel,149,21,0.0,1.0,0,0,0,7.1
Airtel,3099,365,2.0,0.0,100,0,12,8.49
Airtel,155,24,0.0,1.0,0,300,0,6.46
Airtel,209,28,0.0,4.0,100,0,0,7.46
